;;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
LSO;Lesotho;L;L;L;L;L;L;L;L;LM;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM
LBR;Liberia;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
LBY;Libya;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
LIE;Liechtenstein;..;..;..;..;..;..;..;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
LTU;Lithuania;..;..;..;..;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H
LUX;Luxembourg;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
MAC;Macao SAR, China;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
MKD;Macedonia, FYR;..;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM
MDG;Madagascar;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
MWI;Malawi;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
MYS;Malaysia;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
MDV;Maldives;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM
MLI;Mali;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
MLT;Malta;UM;UM;H;UM;UM;UM;UM;UM;UM;UM;UM;H;UM;H;UM;H;H;H;H;H;H;H;H;H;H;H
MHL;Marshall Islands;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM
MRT;Mauritania;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;L;LM
MUS;Mauritius;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
MEX;Mexico;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
FSM;Micronesia, Fed. Sts.;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
MDA;Moldova;..;..;..;..;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM
MCO;Monaco;..;..;..;..;..;..;..;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
MNG;Mongolia;..;..;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM
MNE;Montenegro;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;UM;UM;UM;UM;UM;UM;UM
MAR;Morocco;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
MOZ;Mozambique;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
MMR;Myanmar;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
NAM;Namibia;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM
NPL;Nepal;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
NLD;Netherlands;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
NCL;New Caledonia;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
NZL;New Zealand;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
NIC;Nicaragua;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM
NER;Niger;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
NGA;Nigeria;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM
MNP;Northern Mariana Islands;..;..;..;..;..;LM;LM;LM;H;H;H;H;H;H;H;UM;UM;UM;UM;UM;H;H;H;H;H;H
NOR;Norway;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
OMN;Oman;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H
PAK;Pakistan;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM
PLW;Palau;..;..;..;..;..;..;..;..;..;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
PAN;Panama;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
PNG;Papua New Guinea;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;LM;LM;LM;LM;LM
PRY;Paraguay;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
PER;Peru;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM
PHL;Philippines;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
POL;Poland;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H
PRT;Portugal;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
PRI;Puerto Rico;UM;UM;H;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H
QAT;Qatar;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
ROM;Romania;UM;UM;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM
RUS;Russian Federation;..;..;..;..;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;H
RWA;Rwanda;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
WSM;Samoa;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
SMR;San Marino;..;..;..;..;H;H;H;..;..;..;..;..;..;H;H;H;H;H;H;H;H;H;H;H;H;H
STP;São Tomé and Principe;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM
SAU;Saudi Arabia;H;H;H;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H
SEN;Senegal;LM;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM
SRB;Serbia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;UM;UM;UM;UM;UM;UM;UM
SYC;Seychelles;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
SLE;Sierra Leone;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
SGP;Singapore;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
SXM;Sint Maarten (Dutch part);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;H;H;H
SVK;Slovak Republic;..;..;..;..;..;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H
SVN;Slovenia;..;..;..;..;..;UM;UM;UM;UM;UM;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
SLB;Solomon Islands;L;LM;L;L;L;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;LM;L;LM;LM;LM
SOM;Somalia;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
ZAF;South Africa;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;LM;UM;UM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM
SSD;South Sudan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;LM;L
ESP;Spain;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
LKA;Sri Lanka;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
KNA;St. Kitts and Nevis;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H
LCA;St. Lucia;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
MAF;St. Martin (French part);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;H;H;H
VCT;St. Vincent and the Grenadines;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
SDN;Sudan;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM
SUR;Suriname;UM;UM;UM;UM;UM;UM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM;UM;UM;UM
SWZ;Swaziland;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
SWE;Sweden;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
CHE;Switzerland;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
SYR;Syrian Arab Republic;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
TWN;Taiwan, China;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
TJK;Tajikistan;..;..;..;..;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
TZA;Tanzania;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
THA;Thailand;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM
TMP;Timor-Leste;..;..;..;..;..;..;..;..;..;..;..;..;..;..;L;L;L;L;L;L;LM;LM;LM;LM;LM;LM
TGO;Togo;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
TON;Tonga;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM
TTO;Trinidad and Tobago;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H;H;H;H;H;H;H
TUN;Tunisia;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;UM
TUR;Turkey;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM;LM;UM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM
TKM;Turkmenistan;..;..;..;..;LM;LM;LM;LM;LM;LM;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;UM;UM
TCA;Turks and Caicos Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;H;H;H;H
TUV;Tuvalu;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;LM;LM;UM;UM
UGA;Uganda;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
UKR;Ukraine;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;L;L;L;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
ARE;United Arab Emirates;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
GBR;United Kingdom;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
USA;United States;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
URY;Uruguay;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;H
UZB;Uzbekistan;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM
VUT;Vanuatu;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
VEN;Venezuela, RB;UM;UM;UM;UM;UM;UM;UM;LM;LM;LM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM;UM
VNM;Vietnam;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM
VIR;Virgin Islands (U.S.);H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H;H
WBG;West Bank and Gaza;..;..;..;..;..;..;..;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM;LM
YEM;Yemen, Rep.;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM;LM
ZMB;Zambia;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;LM;LM;LM
ZWE;Zimbabwe;LM;LM;LM;LM;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L;L
